position,origin_generation,abs_population_freq,selection_coefficient,dominance_coefficient,active_mutations,current_generation
5000.357635,0,1,1,0.5,1,100001
5000.357635,1,1,1,0.5,1,100002
5000.357635,3,2,1,0.5,1,100004
5000.357635,4,2,1,0.5,1,100005
5000.357635,5,3,1,0.5,1,100006
5000.357635,6,6,1,0.5,1,100007
5000.357635,7,4,1,0.5,1,100008
5000.357635,8,7,1,0.5,1,100009
5000.357635,9,13,1,0.5,1,100010
5000.357635,10,11,1,0.5,1,100011
5000.357635,11,18,1,0.5,1,100012
5000.357635,12,17,1,0.5,1,100013
5000.357635,13,16,1,0.5,1,100014
5000.357635,14,11,1,0.5,1,100015
5000.357635,15,21,1,0.5,1,100016
5000.357635,16,25,1,0.5,1,100017
5000.357635,17,28,1,0.5,1,100018
5000.357635,18,31,1,0.5,1,100019
5000.357635,19,27,1,0.5,1,100020
5000.357635,20,49,1,0.5,1,100021
5000.357635,21,38,1,0.5,1,100022
5000.357635,22,38,1,0.5,1,100023
5000.357635,23,49,1,0.5,1,100024
5000.357635,24,52,1,0.5,1,100025
5000.357635,25,61,1,0.5,1,100026
5000.357635,26,90,1,0.5,1,100027
5000.357635,27,73,1,0.5,1,100028
5000.357635,28,84,1,0.5,1,100029
5000.357635,29,101,1,0.5,1,100030
5000.357635,30,122,1,0.5,1,100031
5000.357635,31,150,1,0.5,1,100032
5000.357635,32,155,1,0.5,1,100033
5000.357635,33,204,1,0.5,1,100034
5000.357635,34,200,1,0.5,1,100035
5000.357635,35,206,1,0.5,1,100036
5000.357635,36,247,1,0.5,1,100037
5000.357635,37,284,1,0.5,1,100038
5000.357635,38,265,1,0.5,1,100039
5000.357635,39,318,1,0.5,1,100040
5000.357635,40,355,1,0.5,1,100041
5000.357635,41,380,1,0.5,1,100042
5000.357635,42,407,1,0.5,1,100043
5000.357635,43,392,1,0.5,1,100044
5000.357635,44,453,1,0.5,1,100045
5000.357635,45,429,1,0.5,1,100046
5000.357635,46,466,1,0.5,1,100047
5000.357635,47,502,1,0.5,1,100048
5000.357635,48,562,1,0.5,1,100049
5000.357635,49,561,1,0.5,1,100050
5000.357635,50,575,1,0.5,1,100051
5000.357635,51,587,1,0.5,1,100052
5000.357635,52,641,1,0.5,1,100053
5000.357635,53,628,1,0.5,1,100054
5000.357635,54,664,1,0.5,1,100055
5000.357635,55,706,1,0.5,1,100056
5000.357635,56,719,1,0.5,1,100057
5000.357635,57,734,1,0.5,1,100058
5000.357635,58,730,1,0.5,1,100059
5000.357635,59,769,1,0.5,1,100060
5000.357635,60,740,1,0.5,1,100061
5000.357635,61,765,1,0.5,1,100062
5000.357635,62,755,1,0.5,1,100063
5000.357635,63,771,1,0.5,1,100064
5000.357635,64,773,1,0.5,1,100065
5000.357635,65,812,1,0.5,1,100066
5000.357635,66,832,1,0.5,1,100067
5000.357635,67,841,1,0.5,1,100068
5000.357635,68,842,1,0.5,1,100069
5000.357635,69,839,1,0.5,1,100070
5000.357635,70,871,1,0.5,1,100071
5000.357635,71,870,1,0.5,1,100072
5000.357635,72,881,1,0.5,1,100073
5000.357635,73,884,1,0.5,1,100074
5000.357635,74,915,1,0.5,1,100075
5000.357635,75,901,1,0.5,1,100076
5000.357635,76,917,1,0.5,1,100077
5000.357635,77,934,1,0.5,1,100078
5000.357635,78,909,1,0.5,1,100079
5000.357635,79,912,1,0.5,1,100080
5000.357635,80,929,1,0.5,1,100081
5000.357635,81,940,1,0.5,1,100082
5000.357635,82,925,1,0.5,1,100083
5000.357635,83,953,1,0.5,1,100084
5000.357635,84,953,1,0.5,1,100085
5000.357635,85,954,1,0.5,1,100086
5000.357635,86,966,1,0.5,1,100087
5000.357635,87,968,1,0.5,1,100088
5000.357635,88,959,1,0.5,1,100089
5000.357635,89,964,1,0.5,1,100090
5000.357635,90,978,1,0.5,1,100091
5000.357635,91,977,1,0.5,1,100092
5000.357635,92,984,1,0.5,1,100093
5000.357635,93,981,1,0.5,1,100094
5000.357635,94,986,1,0.5,1,100095
5000.357635,95,986,1,0.5,1,100096
5000.357635,96,989,1,0.5,1,100097
5000.357635,97,984,1,0.5,1,100098
5000.357635,98,983,1,0.5,1,100099
5000.357635,99,986,1,0.5,1,100100
5000.357635,100,987,1,0.5,1,100101
5000.357635,101,991,1,0.5,1,100102
5000.357635,102,987,1,0.5,1,100103
5000.357635,103,980,1,0.5,1,100104
5000.357635,104,982,1,0.5,1,100105
5000.357635,105,979,1,0.5,1,100106
5000.357635,106,993,1,0.5,1,100107
5000.357635,107,990,1,0.5,1,100108
5000.357635,108,988,1,0.5,1,100109
5000.357635,109,989,1,0.5,1,100110
5000.357635,110,991,1,0.5,1,100111
5000.357635,111,989,1,0.5,1,100112
5000.357635,112,983,1,0.5,1,100113
5000.357635,113,990,1,0.5,1,100114
5000.357635,114,996,1,0.5,1,100115
5000.357635,115,991,1,0.5,1,100116
5000.357635,116,993,1,0.5,1,100117
5000.357635,117,993,1,0.5,1,100118
5000.357635,118,993,1,0.5,1,100119
5000.357635,119,995,1,0.5,1,100120
5000.357635,120,997,1,0.5,1,100121
5000.357635,121,995,1,0.5,1,100122
5000.357635,122,997,1,0.5,1,100123
5000.357635,123,996,1,0.5,1,100124
5000.357635,124,1000,1,0.5,1,100125
5000.357635,125,1000,1,0.5,1,100126
5000.357635,126,1000,1,0.5,1,100127
5000.357635,127,1000,1,0.5,1,100128
5000.357635,128,999,1,0.5,1,100129
5000.357635,129,996,1,0.5,1,100130
5000.357635,130,998,1,0.5,1,100131
5000.357635,131,997,1,0.5,1,100132
5000.357635,132,993,1,0.5,1,100133
5000.357635,133,995,1,0.5,1,100134
5000.357635,134,999,1,0.5,1,100135
5000.357635,135,995,1,0.5,1,100136
5000.357635,136,995,1,0.5,1,100137
5000.357635,137,986,1,0.5,1,100138
5000.357635,138,994,1,0.5,1,100139
5000.357635,139,994,1,0.5,1,100140
5000.357635,140,996,1,0.5,1,100141
5000.357635,141,991,1,0.5,1,100142
5000.357635,142,990,1,0.5,1,100143
5000.357635,143,993,1,0.5,1,100144
5000.357635,144,993,1,0.5,1,100145
5000.357635,145,991,1,0.5,1,100146
5000.357635,146,982,1,0.5,1,100147
5000.357635,147,986,1,0.5,1,100148
5000.357635,148,987,1,0.5,1,100149
5000.357635,149,994,1,0.5,1,100150
5000.357635,150,991,1,0.5,1,100151
5000.357635,151,982,1,0.5,1,100152
5000.357635,152,987,1,0.5,1,100153
5000.357635,153,985,1,0.5,1,100154
5000.357635,154,992,1,0.5,1,100155
5000.357635,155,987,1,0.5,1,100156
5000.357635,156,993,1,0.5,1,100157
5000.357635,157,987,1,0.5,1,100158
5000.357635,158,994,1,0.5,1,100159
5000.357635,159,990,1,0.5,1,100160
5000.357635,160,991,1,0.5,1,100161
5000.357635,161,987,1,0.5,1,100162
5000.357635,162,987,1,0.5,1,100163
5000.357635,163,983,1,0.5,1,100164
5000.357635,164,990,1,0.5,1,100165
5000.357635,165,993,1,0.5,1,100166
5000.357635,166,989,1,0.5,1,100167
5000.357635,167,997,1,0.5,1,100168
5000.357635,168,994,1,0.5,1,100169
5000.357635,169,990,1,0.5,1,100170
5000.357635,170,994,1,0.5,1,100171
5000.357635,171,993,1,0.5,1,100172
5000.357635,172,998,1,0.5,1,100173
5000.357635,173,995,1,0.5,1,100174
5000.357635,174,999,1,0.5,1,100175
5000.357635,175,1000,1,0.5,1,100176
5000.357635,176,1000,1,0.5,1,100177
5000.357635,177,1000,1,0.5,1,100178
5000.357635,178,1000,1,0.5,1,100179
5000.357635,179,1000,1,0.5,1,100180
5000.357635,180,1000,1,0.5,1,100181
5000.357635,181,1000,1,0.5,1,100182
5000.357635,182,1000,1,0.5,1,100183
5000.357635,183,1000,1,0.5,1,100184
5000.357635,184,1000,1,0.5,1,100185
5000.357635,185,1000,1,0.5,1,100186
5000.357635,186,1000,1,0.5,1,100187
5000.357635,187,1000,1,0.5,1,100188
5000.357635,188,1000,1,0.5,1,100189
5000.357635,189,1000,1,0.5,1,100190
5000.357635,190,1000,1,0.5,1,100191
5000.357635,191,1000,1,0.5,1,100192
5000.357635,192,1000,1,0.5,1,100193
5000.357635,193,1000,1,0.5,1,100194
5000.357635,194,1000,1,0.5,1,100195
5000.357635,195,1000,1,0.5,1,100196
5000.357635,196,1000,1,0.5,1,100197
5000.357635,197,1000,1,0.5,1,100198
5000.357635,198,1000,1,0.5,1,100199
5000.357635,199,1000,1,0.5,1,100200
5000.357635,200,1000,1,0.5,1,100201
5000.357635,201,1000,1,0.5,1,100202
5000.357635,202,1000,1,0.5,1,100203
5000.357635,203,1000,1,0.5,1,100204
5000.357635,204,1000,1,0.5,1,100205
5000.357635,205,1000,1,0.5,1,100206
5000.357635,206,1000,1,0.5,1,100207
5000.357635,207,1000,1,0.5,1,100208
5000.357635,208,1000,1,0.5,1,100209
5000.357635,209,1000,1,0.5,1,100210
5000.357635,210,1000,1,0.5,1,100211
5000.357635,211,1000,1,0.5,1,100212
5000.357635,212,1000,1,0.5,1,100213
5000.357635,213,1000,1,0.5,1,100214
5000.357635,214,1000,1,0.5,1,100215
5000.357635,215,1000,1,0.5,1,100216
5000.357635,216,1000,1,0.5,1,100217
5000.357635,217,1000,1,0.5,1,100218
5000.357635,218,1000,1,0.5,1,100219
5000.357635,219,1000,1,0.5,1,100220
5000.357635,220,1000,1,0.5,1,100221
5000.357635,221,1000,1,0.5,1,100222
5000.357635,222,1000,1,0.5,1,100223
