position,origin_generation,abs_population_freq,selection_coefficient,dominance_coefficient,active_mutations,current_generation
5000.993881,0,1,1,0.5,1,10001
5000.993881,1,1,1,0.5,1,10002
5000.993881,2,2,1,0.5,1,10003
5000.993881,3,6,1,0.5,1,10004
5000.993881,4,14,1,0.5,1,10005
5000.993881,5,32,1,0.5,1,10006
5000.993881,6,52,1,0.5,1,10007
5000.993881,7,93,1,0.5,1,10008
5000.993881,8,183,1,0.5,1,10009
5000.993881,9,290,1,0.5,1,10010
5000.993881,10,418,1,0.5,1,10011
5000.993881,11,528,1,0.5,1,10012
5000.993881,12,672,1,0.5,1,10013
5000.993881,13,807,1,0.5,1,10014
5000.993881,14,838,1,0.5,1,10015
5000.993881,15,880,1,0.5,1,10016
5000.993881,16,907,1,0.5,1,10017
5000.993881,17,929,1,0.5,1,10018
5000.993881,18,952,1,0.5,1,10019
5000.993881,19,965,1,0.5,1,10020
5000.993881,20,983,1,0.5,1,10021
5000.993881,21,992,1,0.5,1,10022
5000.993881,22,995,1,0.5,1,10023
5000.993881,23,999,1,0.5,1,10024
5000.993881,24,999,1,0.5,1,10025
5000.993881,25,999,1,0.5,1,10026
5000.993881,26,1000,1,0.5,1,10027
5000.993881,27,1000,1,0.5,1,10028
5000.993881,28,1000,1,0.5,1,10029
5000.993881,29,1000,1,0.5,1,10030
5000.993881,30,1000,1,0.5,1,10031
5000.993881,31,1000,1,0.5,1,10032
5000.993881,32,1000,1,0.5,1,10033
5000.993881,33,1000,1,0.5,1,10034
5000.993881,34,1000,1,0.5,1,10035
5000.993881,35,1000,1,0.5,1,10036
5000.993881,36,1000,1,0.5,1,10037
5000.993881,37,1000,1,0.5,1,10038
5000.993881,38,1000,1,0.5,1,10039
5000.993881,39,1000,1,0.5,1,10040
5000.993881,40,1000,1,0.5,1,10041
5000.993881,41,1000,1,0.5,1,10042
5000.993881,42,1000,1,0.5,1,10043
5000.993881,43,1000,1,0.5,1,10044
5000.993881,44,1000,1,0.5,1,10045
5000.993881,45,1000,1,0.5,1,10046
5000.993881,46,1000,1,0.5,1,10047
5000.993881,47,1000,1,0.5,1,10048
5000.993881,48,1000,1,0.5,1,10049
5000.993881,49,1000,1,0.5,1,10050
5000.993881,50,1000,1,0.5,1,10051
5000.993881,51,1000,1,0.5,1,10052
5000.993881,52,1000,1,0.5,1,10053
5000.993881,53,1000,1,0.5,1,10054
5000.993881,54,1000,1,0.5,1,10055
5000.993881,55,1000,1,0.5,1,10056
5000.993881,56,1000,1,0.5,1,10057
5000.993881,57,1000,1,0.5,1,10058
5000.993881,58,1000,1,0.5,1,10059
5000.993881,59,1000,1,0.5,1,10060
5000.993881,60,1000,1,0.5,1,10061
5000.993881,61,1000,1,0.5,1,10062
5000.993881,62,1000,1,0.5,1,10063
5000.993881,63,1000,1,0.5,1,10064
5000.993881,64,1000,1,0.5,1,10065
5000.993881,65,1000,1,0.5,1,10066
5000.993881,66,1000,1,0.5,1,10067
5000.993881,67,1000,1,0.5,1,10068
5000.993881,68,1000,1,0.5,1,10069
5000.993881,69,1000,1,0.5,1,10070
5000.993881,70,1000,1,0.5,1,10071
5000.993881,71,1000,1,0.5,1,10072
5000.993881,72,1000,1,0.5,1,10073
5000.993881,73,1000,1,0.5,1,10074
5000.993881,74,1000,1,0.5,1,10075
5000.993881,75,1000,1,0.5,1,10076
5000.993881,76,1000,1,0.5,1,10077
