position,origin_generation,abs_population_freq,selection_coefficient,dominance_coefficient,active_mutations,current_generation
5000.704977,1,1,1,0.5,1,100003
5000.704977,2,1,1,0.5,1,100004
5000.704977,3,5,1,0.5,1,100005
5000.704977,4,9,1,0.5,1,100006
5000.704977,5,16,1,0.5,1,100007
5000.704977,6,24,1,0.5,1,100008
5000.704977,7,53,1,0.5,1,100009
5000.704977,8,107,1,0.5,1,100010
5000.704977,9,177,1,0.5,1,100011
5000.704977,10,284,1,0.5,1,100012
5000.704977,11,433,1,0.5,1,100013
5000.704977,12,545,1,0.5,1,100014
5000.704977,13,649,1,0.5,1,100015
5000.704977,14,766,1,0.5,1,100016
5000.704977,15,844,1,0.5,1,100017
5000.704977,16,894,1,0.5,1,100018
5000.704977,17,929,1,0.5,1,100019
5000.704977,18,959,1,0.5,1,100020
5000.704977,19,983,1,0.5,1,100021
5000.704977,20,985,1,0.5,1,100022
5000.704977,21,989,1,0.5,1,100023
5000.704977,22,987,1,0.5,1,100024
5000.704977,23,997,1,0.5,1,100025
5000.704977,24,996,1,0.5,1,100026
5000.704977,25,998,1,0.5,1,100027
5000.704977,26,996,1,0.5,1,100028
5000.704977,27,994,1,0.5,1,100029
5000.704977,28,997,1,0.5,1,100030
5000.704977,29,999,1,0.5,1,100031
5000.704977,30,1000,1,0.5,1,100032
5000.704977,31,1000,1,0.5,1,100033
5000.704977,32,1000,1,0.5,1,100034
5000.704977,33,1000,1,0.5,1,100035
5000.704977,34,1000,1,0.5,1,100036
5000.704977,35,1000,1,0.5,1,100037
5000.704977,36,1000,1,0.5,1,100038
5000.704977,37,1000,1,0.5,1,100039
5000.704977,38,1000,1,0.5,1,100040
5000.704977,39,1000,1,0.5,1,100041
5000.704977,40,1000,1,0.5,1,100042
5000.704977,41,1000,1,0.5,1,100043
5000.704977,42,1000,1,0.5,1,100044
5000.704977,43,1000,1,0.5,1,100045
5000.704977,44,1000,1,0.5,1,100046
5000.704977,45,1000,1,0.5,1,100047
5000.704977,46,1000,1,0.5,1,100048
5000.704977,47,1000,1,0.5,1,100049
5000.704977,48,1000,1,0.5,1,100050
5000.704977,49,1000,1,0.5,1,100051
5000.704977,50,1000,1,0.5,1,100052
5000.704977,51,1000,1,0.5,1,100053
5000.704977,52,1000,1,0.5,1,100054
5000.704977,53,1000,1,0.5,1,100055
5000.704977,54,1000,1,0.5,1,100056
5000.704977,55,1000,1,0.5,1,100057
5000.704977,56,1000,1,0.5,1,100058
5000.704977,57,1000,1,0.5,1,100059
5000.704977,58,1000,1,0.5,1,100060
5000.704977,59,1000,1,0.5,1,100061
5000.704977,60,1000,1,0.5,1,100062
5000.704977,61,1000,1,0.5,1,100063
5000.704977,62,1000,1,0.5,1,100064
5000.704977,63,1000,1,0.5,1,100065
5000.704977,64,1000,1,0.5,1,100066
5000.704977,65,1000,1,0.5,1,100067
5000.704977,66,1000,1,0.5,1,100068
5000.704977,67,1000,1,0.5,1,100069
5000.704977,68,1000,1,0.5,1,100070
5000.704977,69,1000,1,0.5,1,100071
5000.704977,70,1000,1,0.5,1,100072
5000.704977,71,1000,1,0.5,1,100073
5000.704977,72,1000,1,0.5,1,100074
5000.704977,73,1000,1,0.5,1,100075
5000.704977,74,1000,1,0.5,1,100076
5000.704977,75,1000,1,0.5,1,100077
5000.704977,76,1000,1,0.5,1,100078
5000.704977,77,1000,1,0.5,1,100079
5000.704977,78,1000,1,0.5,1,100080
5000.704977,79,1000,1,0.5,1,100081
5000.704977,80,1000,1,0.5,1,100082
5000.966253,0,1,1,0.5,1,100001
5000.966253,1,1,1,0.5,1,100002
